TIENDA_ID,dist_comp_directa,num_comp_directa,dist_comp_indirecta,num_comp_indirecta,VENTA_TOTAL,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,META_VENTA,RATIO_CUMPLIMIENTO
126,71.23529514428007,7,254.6983630586801,1,982752.9068421052,1.0,BC,Hogar,127.42,13.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,490000.0,2.005618177228786
681,707.8824877584386,4,1441.429252643538,0,901997.1085,1.0,C,Hogar,128.13,13.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,490000.0,1.840810425510204
117,18.104075452334808,8,251.0268533960064,4,494514.9431578947,1.0,C,Base,87.62,11.0,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,TRAIN,480000.0,1.0302394649122806
682,614.1270868736308,4,2000.0,0,968538.3155,1.0,C,Hogar,90.7,13.0,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,TRAIN,490000.0,1.9766088071428567
275,618.2412577822377,7,764.0380938916016,1,859411.3780952381,1.0,C,Hogar,95.3,13.0,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,TRAIN,490000.0,1.753900771622935
684,4.369967719178795,5,953.192592105618,1,431225.4826315789,1.0,C,Base,116.07,13.0,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,TRAIN,480000.0,0.8983864221491228
694,4.804469815631505,4,618.9794170181467,1,1263136.961,1.0,C,Receso,78.48,13.0,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,516000.0,2.4479398468992244
272,846.7329405718424,1,903.8111996731044,1,1564962.6455,1.0,C,Hogar,100.58,12.0,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,TRAIN,490000.0,3.193801317346939
702,876.6792290352761,2,917.3708914652572,1,944419.429,1.0,C,Hogar,73.24,13.0,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,TRAIN,490000.0,1.9273865897959184
704,306.3999960990753,3,986.6258127333942,1,1036776.1226315788,1.0,C,Base,107.23,13.0,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,480000.0,2.159950255482456
